I am feeling hungry so I would like to find a place to eat.,INFORM_INTENT
I would like for it to be in San Jose.,INFORM
I usually like eating the American type of food.,INFORM
Can you give me the address of this restaurant.,REQUEST
Can you give me the phone number that I can contact them with?,REQUEST
Is there some other restaurant which you can suggest?,REQUEST_ALTS
Do you have another restaurant matching my needs? For example a restaurant which is economical and is located in Palo Alto.,INFORM
Do you have another restaurant matching my needs? For example a restaurant which is economical and is located in Palo Alto.,INFORM
Do you have another restaurant matching my needs? For example a restaurant which is economical and is located in Palo Alto.,REQUEST_ALTS
"Alright, that seems good. I would like to make a booking at this restaurant.",INFORM_INTENT
"Alright, that seems good. I would like to make a booking at this restaurant.",SELECT
I will be eating there at 11:30 am so make it for then.,INFORM
That suits me well. Can you tell me if they feature live music?,REQUEST
That suits me well. Can you tell me if they feature live music?,AFFIRM
Will I be able to find liquor there? Can you give me the address of their location?,REQUEST
Will I be able to find liquor there? Can you give me the address of their location?,REQUEST
I appreciate it very much. That would be all.,THANK_YOU
I appreciate it very much. That would be all.,GOODBYE
"Hi i need a help, i am very hungry, I am looking for a restaurant",INFORM_INTENT
Some Punjabi kind of foods in milpitas,INFORM
Some Punjabi kind of foods in milpitas,INFORM
"Ok, What is the address? How pricey are they?",REQUEST
"Ok, What is the address? How pricey are they?",REQUEST
"Ok, Find me another restaurant?",REQUEST_ALTS
"No, suggest me another Restaurant, Some Take-out type of food will be perfect",INFORM
"No, suggest me another Restaurant, Some Take-out type of food will be perfect",REQUEST_ALTS
"Yes, it seems good for me",SELECT
"Yes, I want it on the 11th",AFFIRM_INTENT
"Yes, I want it on the 11th",INFORM
at afternoon 1:30,INFORM
"No, time change to twelve in the afternoon for one people",INFORM
"No, time change to twelve in the afternoon for one people",INFORM
"No, time change to twelve in the afternoon for one people",NEGATE
Yes,AFFIRM
"What is the Restaurant address, Do they have live music, I love it",REQUEST
"What is the Restaurant address, Do they have live music, I love it",REQUEST
Thank you very much for your help,THANK_YOU
"No, Thanks",NEGATE
"No, Thanks",THANK_YOU
Help me find a good restaurant.,INFORM_INTENT
Find me Ethiopian cuisine in Berkeley.,INFORM
Find me Ethiopian cuisine in Berkeley.,INFORM
Do they have live music?,REQUEST
That's okay. I'd like to reserve a table for the 4th.,INFORM
That's okay. I'd like to reserve a table for the 4th.,INFORM_INTENT
That's okay. I'd like to reserve a table for the 4th.,SELECT
Reserve the table for the 2nd of this month at 17:15.,INFORM
Reserve the table for the 2nd of this month at 17:15.,INFORM
That's right. Do they serve alcohol? And how expensive is the place?,REQUEST
That's right. Do they serve alcohol? And how expensive is the place?,REQUEST
That's right. Do they serve alcohol? And how expensive is the place?,AFFIRM
Can you check if a table is available at 17:30?,INFORM
Can you check if a table is available at 17:30?,INFORM_INTENT
That's correct.,AFFIRM
Thank you. That's all I need for now.,THANK_YOU
Thank you. That's all I need for now.,GOODBYE
I'm looking for a place to eat.,INFORM_INTENT
Some Freshwater fish kind of food in Palo Alto would be perfect.,INFORM
Some Freshwater fish kind of food in Palo Alto would be perfect.,INFORM
Could you suggest any other restaurant?,REQUEST_ALTS
"Yes, that works for me.",SELECT
"Yes, I want to make a reservation for one. Make it at half past 6 in the evening.",AFFIRM_INTENT
"Yes, I want to make a reservation for one. Make it at half past 6 in the evening.",INFORM
"Yes, I want to make a reservation for one. Make it at half past 6 in the evening.",INFORM
"Yes, that works for me. How pricey are they? What is their contact number?",REQUEST
"Yes, that works for me. How pricey are they? What is their contact number?",REQUEST
"Yes, that works for me. How pricey are they? What is their contact number?",AFFIRM
Thank you very much.,THANK_YOU
"No, thank you very much.",NEGATE
"No, thank you very much.",THANK_YOU
I'd like to find a place to eat.,INFORM_INTENT
Lobster sounds great. Please search in San Mateo.,INFORM
Lobster sounds great. Please search in San Mateo.,INFORM
What's their phone number?,REQUEST
Any other suggestions?,REQUEST_ALTS
Do they have live music?,REQUEST
Any other suggestions?,REQUEST_ALTS
That would work great. I would like to make a reservation there at evening 5:30 on March 14th.,INFORM
That would work great. I would like to make a reservation there at evening 5:30 on March 14th.,INFORM
That would work great. I would like to make a reservation there at evening 5:30 on March 14th.,INFORM_INTENT
That would work great. I would like to make a reservation there at evening 5:30 on March 14th.,SELECT
"Yes, that would be great. Do they serve liquor or have live music?",REQUEST
"Yes, that would be great. Do they serve liquor or have live music?",REQUEST
"Yes, that would be great. Do they serve liquor or have live music?",AFFIRM
Thanks so much!,THANK_YOU
"Nope, that'll be all. Thanks!",NEGATE
"Nope, that'll be all. Thanks!",THANK_YOU
I'm looking for a Filipino place to eat.,INFORM
I'm looking for a Filipino place to eat.,INFORM_INTENT
I want to eat in San Bruno,INFORM
Any other suggestions?,REQUEST_ALTS
How cheap is it and how much does it cost?,REQUEST
How cheap is it and how much does it cost?,REQUEST
Please can you make the reservation,INFORM_INTENT
Please can you make the reservation,SELECT
On the 12th at six pm,INFORM
On the 12th at six pm,INFORM
That's good. Do they serve liquor and what is there number?,REQUEST
That's good. Do they serve liquor and what is there number?,REQUEST
That's good. Do they serve liquor and what is there number?,AFFIRM
Thanks a lot,THANK_YOU
Thanks a lot,GOODBYE
Can you help find a place to eat?,INFORM_INTENT
I would like Freshwater fish.,INFORM
The city is San Jose.,INFORM
Yes that is fine.,SELECT
Yes make it for March 10th.,AFFIRM_INTENT
Yes make it for March 10th.,INFORM
Reserve for six in the evening.,INFORM
Yes what is the address and do they have live music?,REQUEST
Yes what is the address and do they have live music?,REQUEST
Yes what is the address and do they have live music?,AFFIRM
Thank you for all.,THANK_YOU
"No, that is all.",NEGATE
"No, that is all.",THANK_YOU
My friend and I are looking for a place to eat.,INFORM_INTENT
My family and I are in San Jose and the perfect place would have pizza and pasta. We don't have a price preference.,INFORM
My family and I are in San Jose and the perfect place would have pizza and pasta. We don't have a price preference.,INFORM
My family and I are in San Jose and the perfect place would have pizza and pasta. We don't have a price preference.,INFORM
Is there any other restaurant that you can suggest?,REQUEST_ALTS
Can I please have the address and contact number?,REQUEST
Can I please have the address and contact number?,REQUEST
Is there any other restaurant that you can suggest?,REQUEST_ALTS
That restaurant will work can you please make a reservation for 12:30.,INFORM
That restaurant will work can you please make a reservation for 12:30.,INFORM_INTENT
That restaurant will work can you please make a reservation for 12:30.,SELECT
"Yes, thank you that is correct.",AFFIRM
Thank you so much for setting that up.,THANK_YOU
That is all thank you so much.,NEGATE
That is all thank you so much.,THANK_YOU
Can you find me something economical to eat in Pleasanton.,INFORM
Can you find me something economical to eat in Pleasanton.,INFORM
Can you find me something economical to eat in Pleasanton.,INFORM_INTENT
I would like some Italian food.,INFORM
Can you provide the address and do they have live music?,REQUEST
Can you provide the address and do they have live music?,REQUEST
Any other recommendation?,REQUEST_ALTS
Can you provide more options?,REQUEST_ALTS
That sounds like a good choice for me.,SELECT
"Yes, make a reservation at the restaurant.",INFORM_INTENT
I'll reach there at 1:30 pm.,INFORM
"No, change the time to 7 pm and for one person only.",INFORM
"No, change the time to 7 pm and for one person only.",INFORM
"No, change the time to 7 pm and for one person only.",NEGATE
"No, change it on next friday.",INFORM
"No, change it on next friday.",NEGATE
Yes. Sounds good.,AFFIRM
